指标,年末总人口(万人),男性人口(万人),女性人口(万人),城镇人口(万人),乡村人口(万人)
2019,140005,71527,68478,84843,55162
2018,139538,71351,68187,83137,56401
2017,139008,71137,67871,81347,57661
2016,138271,70815,67456,79298,58973
2015,137462,70414,67048,77116,60346
2014,136782,70079,66703,74916,61866
2013,136072,69728,66344,73111,62961
2012,135404,69395,66009,71182,64222
2011,134735,69068,65667,69079,65656
2010,134091,68748,65343,66978,67113
2009,133450,68647,64803,64512,68938
2008,132802,68357,64445,62403,70399
2007,132129,68048,64081,60633,71496
2006,131448,67728,63720,58288,73160
2005,130756,67375,63381,56212,74544
2004,129988,66976,63012,54283,75705
2003,129227,66556,62671,52376,76851
2002,128453,66115,62338,50212,78241
2001,127627,65672,61955,48064,79563
2000,126743,65437,61306,45906,80837
